Main Category,Occasion,Clothing Type,Clothing Type 2,Pleat?,Material,Brand,Fit,Color 1,Color 2,File Name
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Beige,,H&M_Lightweight_Chino_Beige_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Black,,H&M_Lightweight_Chino_Black_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Blue,,H&M_Lightweight_Chino_Blue_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Brown,,H&M_Lightweight_Chino_Brown_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Burgundy,,H&M_Lightweight_Chino_Burgundy_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Gray,,H&M_Lightweight_Chino_Gray_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Khaki,,H&M_Lightweight_Chino_Khaki_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Light Blue,,H&M_Lightweight_Chino_LightBlue_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Light Brown,,H&M_Lightweight_Chino_LightBrown_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Navy,,H&M_Lightweight_Chino_Navy_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Red,,H&M_Lightweight_Chino_Red_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Salmon,,H&M_Lightweight_Chino_Salmon_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Taupe,,H&M_Lightweight_Chino_Taupe_Regular.jpg
Bottoms,Multi,Chinos,Light Weight,No,Chino,H&M,Regular,Turquoise,,H&M_Lightweight_Chino_Turquoise_Regular.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Beige,,H&M_Chino_Regular_Beige.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Black,,H&M_Chino_Regular_Black.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Blue,,H&M_Chino_Regular_Blue.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Brown,,H&M_Chino_Regular_Brown.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Burgundy,,H&M_Chino_Regular_Burgundy.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Gray,,H&M_Chino_Regular_Gray.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Khaki,,H&M_Chino_Regular_Khaki.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Light Blue,,H&M_Chino_Regular_LightBlue.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Light Brown,,H&M_Chino_Regular_LightBrown.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Navy,,H&M_Chino_Regular_Navy.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Red,,H&M_Chino_Regular_Red.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Salmon,,H&M_Chino_Regular_Salmon.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Taupe,,H&M_Chino_Regular_Taupe.jpg
Bottoms,Multi,Chinos,Regular Weight,No,Chino,H&M,Regular,Turquoise,,H&M_Chino_Regular_Turquoise.jpg
Bottoms,Dressed,Suit Pants,,Yes,Blend,Uniqlo,Regular,Black,,Uniqlo_SuitPants_Regular_Black.jpg
Bottoms,Dressed,Suit Pants,,Yes,Blend,Uniqlo,Regular,Charcoal,,Uniqlo_SuitPants_Regular_Charcoal.jpg
Bottoms,Dressed,Suit Pants,,Yes,Blend,Uniqlo,Regular,Gray,,Uniqlo_SuitPants_Regular_Gray.jpg
Bottoms,Dressed,Suit Pants,,Yes,Blend,Uniqlo,Regular,Light Gray,,Uniqlo_SuitPants_Regular_LightGray.jpg
Bottoms,Dressed,Suit Pants,,Yes,Blend,Uniqlo,Regular,Navy,,Uniqlo_SuitPants_Regular_Navy.jpg
Bottoms,Dressed,Suit Pants,,Yes,Wool,Uniqlo,Regular,Black,,Uniqlo_SuitPants_Wool_Regular_Black.jpg
Bottoms,Dressed,Suit Pants,,Yes,Wool,Uniqlo,Regular,Charcoal,,Uniqlo_SuitPants_Wool_Regular_Charcoal.jpg
Bottoms,Dressed,Suit Pants,,Yes,Wool,Uniqlo,Regular,Dark Gray,,Uniqlo_SuitPants_Wool_Regular_DarkGray.jpg
Bottoms,Dressed,Suit Pants,,Yes,Wool,Uniqlo,Regular,Gray,,Uniqlo_SuitPants_Wool_Regular_Gray.jpg
Bottoms,Dressed,Suit Pants,,Yes,Wool,Uniqlo,Regular,Light Gray,,Uniqlo_SuitPants_Wool_Regular_LightGray.jpg
Bottoms,Dressed,Suit Pants,,Yes,Wool,Uniqlo,Regular,Navy,,Uniqlo_SuitPants_Wool_Regular_Navy.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Beige,,H&M_5-Pocket_Regular_Beige.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Black,,H&M_5-Pocket_Regular_Black.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Blue,,H&M_5-Pocket_Regular_Blue.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Brown,,H&M_5-Pocket_Regular_Brown.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Burgundy,,H&M_5-Pocket_Regular_Burgundy.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Green,,H&M_5-Pocket_Regular_Green.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Gray,,H&M_5-Pocket_Regular_Gray.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Light Brown,,H&M_5-Pocket_Regular_LightBrown.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Navy,,H&M_5-Pocket_Regular_Navy.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Olive,,H&M_5-Pocket_Regular_Olive.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Orange,,H&M_5-Pocket_Regular_Orange.jpg
Bottoms,Casual,5-Pocket,,No,Twill,H&M,Regular,Purple,,H&M_5-Pocket_Regular_Purple.jpg
