,,Tops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Black,Light Blue,Blue,Dark Blue,White,Light Brown,Brown,Dark Brown,Light Gray,Gray,Dark Gray,Light Red,Red,Dark Red,Light Green,Green,Dark Green,Light Orange,Orange,Dark Orange,Light Purple,Purple,Dark Purple,Light Yellow,Yellow,Dark Yellow,,Count of 3s,Count of 2s,Count of 1s,Count of 0s
Bottoms,Black,3,3,3,3,3,0,0,0,3,3,3,3,3,3,1,1,3,0,0,0,2,2,2,3,2,2,,13,5,2,6
,Light Blue,3,3,3,3,3,0,0,0,3,3,3,2,3,3,1,1,3,0,0,0,1,1,2,2,1,2,,11,4,5,6
,Blue,3,3,3,3,3,0,0,0,3,3,3,2,3,3,1,1,3,0,0,0,1,1,2,2,1,2,,11,4,5,6
,Dark Blue,3,3,3,3,3,0,0,0,3,3,3,2,3,3,1,1,3,0,0,0,1,1,2,2,1,2,,11,4,5,6
,White,3,3,3,3,2,0,0,0,2,2,3,2,2,3,1,1,3,0,0,0,2,2,2,2,2,2,,7,11,2,6
,Light Brown,3,3,3,3,3,0,0,0,3,3,3,3,3,3,1,1,3,0,0,0,2,2,2,1,1,2,,12,4,4,6
,Brown,3,3,3,3,3,0,0,0,3,3,3,2,2,2,1,1,3,0,0,0,1,1,2,1,1,2,,9,5,6,6
,Dark Brown,2,3,3,3,3,0,0,0,3,3,3,2,2,2,1,1,3,0,0,0,1,1,2,1,1,2,,8,6,6,6
,Light Gray,2,3,3,3,3,0,0,0,3,3,3,2,2,3,1,1,3,0,0,0,2,2,2,2,2,2,,9,9,2,6
,Gray,3,3,3,3,3,0,0,0,3,3,3,2,2,3,1,1,3,0,0,0,2,2,2,2,2,2,,10,8,2,6
,Dark Gray,3,3,3,3,3,0,0,0,3,3,3,3,3,3,1,1,3,0,0,0,2,2,2,2,2,2,,12,6,2,6
,Light Red,3,3,3,3,3,0,0,0,3,3,3,1,2,3,1,1,3,0,0,0,2,2,2,2,2,2,,10,7,3,6
,Red,3,3,3,3,3,0,0,0,3,3,3,2,1,2,1,1,3,0,0,0,2,2,2,2,2,2,,9,8,3,6
,Dark Red,3,3,3,3,3,0,0,0,3,3,3,2,1,1,1,1,3,0,0,0,3,3,3,2,2,2,,12,4,4,6
,Light Green,3,3,3,3,3,0,0,0,3,3,3,1,2,3,1,1,3,0,0,0,2,2,2,2,1,2,,10,6,4,6
,Green,1,3,3,3,3,0,0,0,3,3,3,1,2,3,1,1,3,0,0,0,2,2,2,2,1,2,,9,6,5,6
,Dark Green,2,3,3,3,3,0,0,0,3,3,3,1,2,3,1,1,3,0,0,0,2,2,2,2,2,2,,9,8,3,6
,Light Orange,3,3,3,3,3,0,0,0,3,3,3,1,1,1,1,1,3,0,0,0,1,1,1,2,1,1,,9,1,10,6
,Orange,1,3,3,3,3,0,0,0,3,3,3,1,1,1,1,1,3,0,0,0,2,1,1,2,1,1,,8,2,10,6
,Dark Orange,2,3,3,3,3,0,0,0,3,3,3,1,1,1,1,1,3,0,0,0,2,1,1,2,1,1,,8,3,9,6
,Light Purple,3,3,3,3,3,0,0,0,3,3,3,2,3,3,1,1,3,0,0,0,2,2,2,3,2,1,,12,5,3,6
,Purple,3,3,3,3,3,0,0,0,3,3,3,3,2,2,1,1,3,0,0,0,2,2,2,3,2,1,,11,6,3,6
,Dark Purple,3,3,3,3,3,0,0,0,3,3,3,2,2,2,2,2,3,0,0,0,2,2,2,3,2,2,,10,10,0,6
,Light Yellow,3,2,2,3,3,0,0,0,2,2,2,2,2,2,1,2,3,0,0,0,2,2,2,1,1,1,,4,12,4,6
,Yellow,3,2,2,3,3,0,0,0,2,2,2,2,2,2,1,2,3,0,0,0,2,2,2,1,1,1,,4,12,4,6
,Dark Yellow,3,2,2,3,3,0,0,0,2,2,2,2,2,2,1,2,3,0,0,0,2,2,2,1,1,1,,4,12,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Count of 3s,20,23,23,26,25,0,0,0,22,22,23,4,7,14,0,0,26,0,0,0,1,1,1,4,0,0,,,,,
,Count of 2s,4,3,3,0,1,0,0,0,4,4,3,15,14,8,1,4,0,0,0,0,19,17,22,16,12,18,,,,,
,Count of 1s,2,0,0,0,0,0,0,0,0,0,0,7,5,4,25,22,0,0,0,0,6,8,3,6,14,8,,,,,
,Count of 0s,0,0,0,0,0,26,26,26,0,0,0,0,0,0,0,0,0,26,26,26,0,0,0,0,0,0,,,,,
